"","Nest","Site","Num_females_same_day","Date_beehav","Nest_sociality_summary","Social_status_con","Social_status_lib"
"1","J00","JAM",1,2024-11-25,"only one female","solitary","solitary"
"2","J100","JAM",2,2025-02-04,NA,"social","social"
"3","J11","JAM",0,2024-12-10,"only vigilance from unknown female","solitary","solitary"
"4","J15","JAM",1,2024-11-19,"only one female","solitary","solitary"
"5","J16","JAM",1,2024-12-02,"only one female","solitary","solitary"
"6","J18","JAM",2,2024-11-14,"two females, then a third female. OGP and WWG last seen Nov 25, No ID collects pollen Jan 16","social","social"
"7","J19","JAM",1,2024-11-12,"only one female","solitary","solitary"
"8","J26","JAM",1,2024-11-19,"one female then another female. No ID filmed after OBO-P in Dec then assume same no ID in Jan","solitary","solitary"
"9","J32","JAM",1,2025-01-06,NA,"solitary","solitary"
"10","J36","JAM",1,2024-11-19,NA,"solitary","solitary"
"11","J38","JAM",0,2025-01-06,"only vigilance from unknown female","solitary","solitary"
"12","J42","JAM",1,2024-11-18,"only one female","solitary","solitary"
"13","J44","JAM",1,2024-11-25,"only one female","solitary","solitary"
"14","J45","JAM",1,2024-11-18,"only one female","solitary","solitary"
"15","J49","JAM",1,2024-11-12,"only one female","solitary","solitary"
"16","J50","JAM",1,2024-11-18,"only one female","solitary","solitary"
"17","J51","JAM",1,2025-01-06,"only one female, but another bee painted from this nest on same day","solitary","social"
"18","J53","JAM",0,2024-11-07,"no behaviour","solitary","solitary"
"19","J54","JAM",1,2024-11-07,"only one female","solitary","solitary"
"20","J56","JAM",0,NA,"behaviour never recorded, adding social status based on paint markings","solitary","social"
"21","J57","JAM",1,2024-11-07,"only one female","solitary","solitary"
"22","J58","JAM",1,2024-11-07,"only one female","solitary","solitary"
"23","J60","JAM",0,2025-01-22,"no behaviour","solitary","solitary"
"24","J65","JAM",1,2024-11-25,"only one female","solitary","solitary"
"25","J66","JAM",1,2024-11-07,"only one female","solitary","solitary"
"26","J67","JAM",1,2024-11-12,"only one female","solitary","solitary"
"27","J71","JAM",1,2024-11-07,"only one female","solitary","solitary"
"28","J75","JAM",1,2024-12-02,"two females, 3 days apart","solitary","social"
"29","J80","JAM",1,2024-11-25,"only one female","solitary","solitary"
"30","J87","JAM",2,2025-01-07,NA,"social","social"
"31","J89","JAM",1,2025-01-07,"only one female","solitary","solitary"
"32","J90","JAM",1,2025-01-22,"only one female","solitary","solitary"
"33","J91","JAM",3,2025-01-16,"three females","social","social"
"34","J92","JAM",3,2025-01-28,NA,"social","social"
"35","J98","JAM",0,2025-01-28,"only vigilance from unknown female","solitary","solitary"
"36","K11","KB",1,2024-12-03,"only one female","solitary","solitary"
"37","K13","KB",1,2024-12-03,"one female collecting pollen, 6 weeks later another female use same entrance","solitary","solitary"
"38","K14","KB",1,2024-12-03,"only one female","solitary","solitary"
"39","K15","KB",0,2025-01-29,"no behaviour","solitary","solitary"
"40","K18","KB",0,2025-01-17,"no behaviour","solitary","solitary"
"41","K19","KB",0,2024-12-18,"only vigilance from unknown female","solitary","solitary"
"42","K2","KB",1,2024-11-26,"only one female","solitary","solitary"
"43","K23","KB",1,2024-12-18,NA,"solitary","solitary"
"44","K24","KB",1,2025-01-29,"only one female","solitary","solitary"
"45","K25","KB",1,2024-12-03,"only one female","solitary","solitary"
"46","K26","KB",0,2025-01-17,"no behaviour","solitary","solitary"
"47","K29","KB",1,2024-12-18,"only one female","solitary","solitary"
"48","K4","KB",1,2024-12-03,"one female then another female 8 weeks later","solitary","solitary"
"49","K5","KB",1,2024-12-03,"only one female","solitary","solitary"
"50","K6","KB",1,2024-12-03,"only one female","solitary","solitary"
"51","K7","KB",0,2025-01-17,"only vigilance from unknown female","solitary","solitary"
"52","K8","KB",1,2024-12-03,NA,"solitary","solitary"
